transaction_id,customer_code,transaction_date,product_category,quantity,revenue,salesperson_id
T000001,101,2025-03-01,Construction Chemicals,17,23834.95,P018
T000002,23,2025-03-01,Construction Chemicals,70,93183.46,P017
T000003,23,2025-03-01,Sealants,71,45820.57,P017
T000004,13,2025-03-01,Adhesives,35,11156.94,P010
T000005,77,2025-03-01,Sealants,25,16637.16,P020
T000006,90,2025-03-01,Sealants,37,24602.74,P020
T000007,10,2025-03-02,Adhesives,44,16936.66,P014
T000008,39,2025-03-02,Adhesives,10,3407.1,P011
T000009,101,2025-03-02,Construction Chemicals,59,87368.75,P018
T000010,5,2025-03-02,Sealants,52,31841.38,P023
T000011,37,2025-03-02,Sealants,47,27161.5,P026
T000012,94,2025-03-02,Adhesives,28,10660.7,P004
T000013,39,2025-03-03,Adhesives,56,20026.59,P011
T000014,5,2025-03-03,Sealants,61,41839.93,P023
T000015,23,2025-03-03,Sealants,48,29305.01,P017
T000016,110,2025-03-03,Sealants,101,66389.42,P024
T000017,116,2025-03-03,Sealants,34,20235.96,P004
T000018,45,2025-03-03,Industrial Resins,18,36238.27,P011
T000019,8,2025-03-03,Construction Chemicals,34,44973.5,P026
T000020,12,2025-03-04,Construction Chemicals,134,198107.61,P024
T000021,39,2025-03-04,Industrial Resins,46,87845.81,P011
T000022,5,2025-03-04,Sealants,69,37755.11,P023
T000023,5,2025-03-04,Sealants,67,45193.85,P023
T000024,23,2025-03-04,Construction Chemicals,78,125504.93,P017
T000025,3,2025-03-04,Construction Chemicals,56,79124.09,P017
T000026,38,2025-03-04,Industrial Resins,62,145047.08,P010
T000027,38,2025-03-04,Adhesives,112,34721.32,P010
T000028,110,2025-03-04,Sealants,93,61877.33,P024
T000029,77,2025-03-04,Construction Chemicals,25,36245.94,P020
T000030,14,2025-03-04,Adhesives,33,11818.08,P005
T000031,27,2025-03-04,Adhesives,43,15233.87,P006
T000032,63,2025-03-04,Adhesives,18,6318.63,P008
T000033,115,2025-03-05,Sealants,18,11653.33,P004
T000034,115,2025-03-05,Sealants,75,42052.52,P004
T000035,103,2025-03-05,Industrial Resins,26,48821.59,P010
T000036,10,2025-03-05,Adhesives,48,15017.74,P014
T000037,10,2025-03-05,Adhesives,50,19270.03,P014
T000038,39,2025-03-05,Adhesives,41,12922.58,P011
T000039,5,2025-03-05,Construction Chemicals,77,104513.7,P023
T000040,38,2025-03-05,Industrial Resins,32,63236.19,P010
T000041,38,2025-03-05,Adhesives,64,24356.62,P010
T000042,84,2025-03-05,Sealants,47,26486.63,P018
T000043,99,2025-03-05,Adhesives,30,9949.0,P012
T000044,2,2025-03-05,Construction Chemicals,12,18429.13,P018
T000045,93,2025-03-05,Adhesives,7,2169.55,P012
T000046,118,2025-03-05,Industrial Resins,37,79349.58,P010
T000047,103,2025-03-06,Industrial Resins,74,141893.5,P010
T000048,103,2025-03-06,Industrial Resins,4,8146.45,P010
T000049,103,2025-03-06,Adhesives,51,17066.08,P010
T000050,23,2025-03-06,Sealants,33,22572.6,P017
T000051,53,2025-03-06,Sealants,1,604.47,P023
T000052,35,2025-03-06,Adhesives,23,7990.23,P008
T000053,100,2025-03-06,Adhesives,24,9023.25,P004
T000054,103,2025-03-07,Adhesives,58,20750.03,P010
T000055,10,2025-03-07,Industrial Resins,52,96407.93,P014
T000056,12,2025-03-07,Construction Chemicals,58,90603.49,P024
T000057,23,2025-03-07,Sealants,40,22556.04,P017
T000058,71,2025-03-07,Construction Chemicals,18,29037.94,P024
T000059,98,2025-03-07,Adhesives,30,9888.68,P010
T000060,103,2025-03-08,Adhesives,76,28403.88,P010
T000061,12,2025-03-08,Construction Chemicals,101,150611.76,P024
T000062,39,2025-03-08,Adhesives,54,20557.47,P011
T000063,3,2025-03-08,Sealants,91,49957.64,P017
T000064,110,2025-03-08,Construction Chemicals,85,130808.6,P024
T000065,104,2025-03-08,Adhesives,15,4746.45,P014
T000066,26,2025-03-08,Construction Chemicals,29,45485.86,P022
T000067,90,2025-03-08,Construction Chemicals,5,6794.36,P020
T000068,103,2025-03-09,Industrial Resins,16,31233.46,P010
T000069,12,2025-03-09,Construction Chemicals,28,43384.11,P024
T000070,23,2025-03-09,Construction Chemicals,37,48759.6,P017
T000071,3,2025-03-09,Construction Chemicals,35,55086.37,P017
T000072,38,2025-03-09,Industrial Resins,59,136581.29,P010
T000073,95,2025-03-09,Art & Craft,8,1481.34,P008
T000074,15,2025-03-09,Adhesives,23,7103.67,P004
T000075,101,2025-03-10,Sealants,28,17743.12,P018
T000076,5,2025-03-10,Construction Chemicals,70,108861.76,P023
T000077,13,2025-03-10,Industrial Resins,70,133969.77,P010
T000078,13,2025-03-10,Adhesives,37,12583.08,P010
T000079,3,2025-03-10,Sealants,60,38765.42,P017
T000080,5,2025-03-11,Construction Chemicals,104,159103.13,P023
T000081,5,2025-03-11,Construction Chemicals,59,88031.59,P023
T000082,5,2025-03-11,Sealants,23,15062.03,P023
T000083,38,2025-03-11,Industrial Resins,68,133808.98,P010
T000084,110,2025-03-11,Sealants,77,42828.81,P024
T000085,110,2025-03-11,Sealants,1,673.1,P024
T000086,106,2025-03-11,Sealants,30,18460.48,P016
T000087,99,2025-03-11,Industrial Resins,22,47358.01,P012
T000088,115,2025-03-12,Art & Craft,61,10199.63,P004
T000089,10,2025-03-12,Adhesives,41,15861.09,P014
T000090,39,2025-03-12,Industrial Resins,47,102182.09,P011
T000091,3,2025-03-12,Construction Chemicals,13,20389.43,P017
T000092,3,2025-03-12,Construction Chemicals,94,131225.27,P017
T000093,110,2025-03-12,Construction Chemicals,55,73898.83,P024
T000094,106,2025-03-12,Construction Chemicals,10,14621.79,P016
T000095,102,2025-03-12,Construction Chemicals,33,50533.97,P024
T000096,24,2025-03-12,Sealants,27,17011.0,P026
T000097,12,2025-03-13,Sealants,65,36225.33,P024
T000098,5,2025-03-13,Construction Chemicals,29,44142.65,P023
T000099,13,2025-03-13,Industrial Resins,24,56292.75,P010
T000100,83,2025-03-13,Industrial Resins,39,82981.69,P011
T000101,76,2025-03-13,Sealants,33,19475.35,P026
T000102,15,2025-03-13,Sealants,34,23442.52,P004
T000103,12,2025-03-14,Sealants,35,21241.99,P024
T000104,39,2025-03-14,Adhesives,106,34465.49,P011
T000105,78,2025-03-14,Industrial Resins,29,63084.27,P010
T000106,108,2025-03-14,Art & Craft,21,4080.86,P005
T000107,53,2025-03-14,Construction Chemicals,31,41155.16,P023
T000108,68,2025-03-14,Sealants,29,18974.52,P024
T000109,85,2025-03-14,Art & Craft,15,2382.17,P005
T000110,115,2025-03-15,Adhesives,25,7970.78,P004
T000111,115,2025-03-15,Art & Craft,31,6240.33,P004
T000112,10,2025-03-15,Industrial Resins,28,56357.83,P014
T000113,13,2025-03-15,Industrial Resins,72,142944.02,P010
T000114,110,2025-03-15,Sealants,61,33570.36,P024
T000115,37,2025-03-15,Construction Chemicals,16,20866.94,P026
T000116,8,2025-03-15,Sealants,22,15153.85,P026
T000117,103,2025-03-16,Adhesives,41,15835.46,P010
T000118,12,2025-03-16,Construction Chemicals,80,126327.94,P024
T000119,12,2025-03-16,Construction Chemicals,36,46240.07,P024
T000120,12,2025-03-16,Sealants,33,20004.84,P024
T000121,101,2025-03-16,Sealants,71,41629.51,P018
T000122,34,2025-03-16,Construction Chemicals,39,62293.94,P020
T000123,39,2025-03-17,Industrial Resins,31,67687.6,P011
