transaction_id,customer_code,transaction_date,product_category,quantity,revenue,salesperson_id
TXN000001,113,2026-07-12,Sealants,145,33461.86,P006
TXN000002,96,2025-10-30,Industrial Resins,89,42473.9,P024
TXN000003,27,2025-06-25,Construction Chemicals,114,21289.49,P011
TXN000004,34,2025-06-28,Industrial Resins,260,123529.15,P018
TXN000005,7,2026-04-16,Adhesives,334,39467.38,P004
TXN000006,6,2025-10-13,Adhesives,180,22771.24,P012
TXN000007,34,2025-09-08,Sealants,389,96118.7,P018
TXN000008,55,2025-09-16,Industrial Resins,14,6456.62,P004
TXN000009,116,2026-02-27,Sealants,289,65545.61,P012
TXN000010,75,2026-08-14,Industrial Resins,85,41903.19,P012
TXN000011,40,2025-06-21,Construction Chemicals,470,91927.85,P018
TXN000012,6,2025-09-28,Construction Chemicals,117,21826.86,P012
TXN000013,14,2025-06-14,Construction Chemicals,409,74501.72,P016
TXN000014,53,2026-05-06,Industrial Resins,393,182923.95,P012
TXN000015,111,2026-02-05,Sealants,419,111260.67,P017
TXN000016,4,2025-07-31,Sealants,387,104963.83,P006
TXN000017,120,2025-08-24,Art & Craft,420,26056.33,P017
TXN000018,104,2025-09-10,Sealants,146,34012.14,P022
TXN000019,14,2026-01-07,Art & Craft,456,24835.9,P016
TXN000020,29,2026-03-09,Sealants,428,115954.87,P022
TXN000021,40,2026-05-29,Sealants,124,28046.72,P018
TXN000022,52,2025-08-05,Construction Chemicals,152,29353.74,P006
TXN000023,36,2025-09-22,Construction Chemicals,338,60954.45,P024
TXN000024,108,2026-07-07,Industrial Resins,179,97362.34,P018
TXN000025,113,2026-04-22,Construction Chemicals,101,18473.02,P006
TXN000026,5,2025-08-27,Adhesives,315,37305.3,P005
TXN000027,101,2025-12-17,Construction Chemicals,233,42830.88,P011
TXN000028,15,2026-04-27,Art & Craft,470,28631.96,P024
TXN000029,6,2025-07-19,Art & Craft,10,602.39,P012
TXN000030,69,2025-09-29,Sealants,196,48326.71,P012
TXN000031,118,2025-06-27,Construction Chemicals,329,57016.02,P017
TXN000032,16,2026-02-07,Construction Chemicals,269,46573.11,P022
TXN000033,42,2026-07-01,Art & Craft,366,21062.52,P006
TXN000034,25,2025-09-23,Art & Craft,350,22849.53,P016
TXN000035,96,2026-02-09,Sealants,325,82372.96,P024
TXN000036,71,2026-01-27,Adhesives,165,18956.18,P012
TXN000037,101,2026-01-09,Industrial Resins,320,164950.58,P011
TXN000038,57,2026-01-05,Art & Craft,355,20080.37,P018
TXN000039,102,2025-12-15,Sealants,347,79546.2,P006
TXN000040,85,2025-08-16,Industrial Resins,181,83140.31,P012
TXN000041,31,2026-06-21,Construction Chemicals,125,23879.53,P005
TXN000042,4,2025-10-27,Adhesives,135,17767.95,P006
TXN000043,109,2025-10-17,Adhesives,243,28661.02,P018
TXN000044,74,2025-12-25,Sealants,377,97951.28,P005
TXN000045,52,2026-09-02,Sealants,85,21913.25,P006
TXN000046,115,2026-06-06,Adhesives,408,48227.03,P010
TXN000047,103,2026-04-30,Industrial Resins,247,112390.39,P006
TXN000048,118,2026-01-10,Adhesives,243,27021.63,P017
