customer_code,customer_name,division_id,field_team_code,hierarchy_type,city,state
1,Yohannan Building Materials,40,WSSTTY11,Sales Hierarchy,Chennai,Tamil Nadu
2,Lall Enterprises,20,WSSTTY4,Sales Hierarchy,Indore,Madhya Pradesh
3,Sangha Hardware Store,10,WSSTTY1,Sales Hierarchy,Kolkata,West Bengal
4,Rastogi Agencies,10,WSSTTY1,Sales Hierarchy,Chennai,Tamil Nadu
5,Pathak Enterprises,10,WSSTTY3,MDI Hierarchy,Jaipur,Rajasthan
6,Kanda Agencies,30,WSSTTY9,Sales Hierarchy,Chennai,Tamil Nadu
7,Devi Enterprises,20,WSSTTY6,MDI Hierarchy,Indore,Madhya Pradesh
8,Upadhyay Hardware Store,10,WSSTTY3,Sales Hierarchy,Jaipur,Rajasthan
9,Tak Hardware Store,20,WSSTTY4,Sales Hierarchy,Lucknow,Uttar Pradesh
10,Chand Agencies,40,WSSTTY12,Sales Hierarchy,Surat,Gujarat
11,Batta Traders,30,WSSTTY9,MDI Hierarchy,Kolkata,West Bengal
12,Choudhary Agencies,10,WSSTTY3,Sales Hierarchy,Surat,Gujarat
13,Dua Enterprises,20,WSSTTY5,Sales Hierarchy,Pune,Maharashtra
14,Dutta Agencies,20,WSSTTY5,Sales Hierarchy,Pune,Maharashtra
15,Sami Hardware Store,10,WSSTTY3,Sales Hierarchy,Indore,Madhya Pradesh
16,Bhatt Paints & Hardware,30,WSSTTY7,Sales Hierarchy,Delhi,Delhi
17,Rajan Traders,10,WSSTTY2,Sales Hierarchy,Indore,Madhya Pradesh
18,Raj Hardware Store,30,WSSTTY7,Sales Hierarchy,Mumbai,Maharashtra
19,Sidhu Hardware Store,10,WSSTTY3,Sales Hierarchy,Chennai,Tamil Nadu
20,Wadhwa Traders,20,WSSTTY4,Sales Hierarchy,Bengaluru,Karnataka
21,Krishnamurthy Enterprises,10,WSSTTY1,Sales Hierarchy,Chennai,Tamil Nadu
22,Apte Paints & Hardware,20,WSSTTY6,MDI Hierarchy,Ahmedabad,Gujarat
23,Contractor Enterprises,40,WSSTTY12,Sales Hierarchy,Jaipur,Rajasthan
24,Yadav Agencies,30,WSSTTY8,Sales Hierarchy,Lucknow,Uttar Pradesh
25,Loke Paints & Hardware,20,WSSTTY5,Sales Hierarchy,Ahmedabad,Gujarat
26,Oak Hardware Store,40,WSSTTY12,MDI Hierarchy,Ahmedabad,Gujarat
27,Choudhury Enterprises,40,WSSTTY12,MDI Hierarchy,Lucknow,Uttar Pradesh
28,Memon Agencies,20,WSSTTY6,MDI Hierarchy,Lucknow,Uttar Pradesh
29,Saran Enterprises,10,WSSTTY3,Sales Hierarchy,Surat,Gujarat
30,Dugar Paints & Hardware,10,WSSTTY3,MDI Hierarchy,Lucknow,Uttar Pradesh
31,Setty Enterprises,10,WSSTTY1,Sales Hierarchy,Surat,Gujarat
32,Aggarwal Traders,10,WSSTTY3,Sales Hierarchy,Kolkata,West Bengal
33,Lall Traders,10,WSSTTY3,Sales Hierarchy,Delhi,Delhi
34,Tella Hardware Store,40,WSSTTY10,Sales Hierarchy,Kolkata,West Bengal
35,Gokhale Traders,20,WSSTTY5,Sales Hierarchy,Delhi,Delhi
36,Tripathi Building Materials,10,WSSTTY2,Sales Hierarchy,Kolkata,West Bengal
37,Cherian Hardware Store,20,WSSTTY6,Sales Hierarchy,Ahmedabad,Gujarat
38,Misra Traders,10,WSSTTY1,Sales Hierarchy,Delhi,Delhi
39,Tripathi Traders,20,WSSTTY6,Sales Hierarchy,Lucknow,Uttar Pradesh
40,Issac Enterprises,40,WSSTTY12,Sales Hierarchy,Kolkata,West Bengal
41,Dua Traders,10,WSSTTY3,Sales Hierarchy,Indore,Madhya Pradesh
42,Prakash Traders,10,WSSTTY2,Sales Hierarchy,Delhi,Delhi
43,Edwin Enterprises,40,WSSTTY12,MDI Hierarchy,Surat,Gujarat
44,Zacharia Hardware Store,20,WSSTTY6,Sales Hierarchy,Delhi,Delhi
45,Wali Enterprises,30,WSSTTY7,Sales Hierarchy,Surat,Gujarat
46,Acharya Traders,20,WSSTTY5,Sales Hierarchy,Lucknow,Uttar Pradesh
47,Naik Traders,40,WSSTTY11,Sales Hierarchy,Lucknow,Uttar Pradesh
48,Suresh Traders,20,WSSTTY6,MDI Hierarchy,Indore,Madhya Pradesh
49,Bahl Agencies,20,WSSTTY6,MDI Hierarchy,Mumbai,Maharashtra
50,Choudhury Traders,10,WSSTTY3,MDI Hierarchy,Hyderabad,Telangana
51,Patil Building Materials,40,WSSTTY12,Sales Hierarchy,Mumbai,Maharashtra
52,Mohanty Agencies,20,WSSTTY6,Sales Hierarchy,Kolkata,West Bengal
53,Khatri Building Materials,10,WSSTTY1,Sales Hierarchy,Mumbai,Maharashtra
54,Bhardwaj Enterprises,10,WSSTTY1,Sales Hierarchy,Indore,Madhya Pradesh
55,Khosla Paints & Hardware,30,WSSTTY9,Sales Hierarchy,Bengaluru,Karnataka
56,Brar Traders,20,WSSTTY5,Sales Hierarchy,Lucknow,Uttar Pradesh
57,Chada Agencies,10,WSSTTY3,MDI Hierarchy,Surat,Gujarat
58,Sunder Building Materials,30,WSSTTY9,MDI Hierarchy,Surat,Gujarat
59,Biswas Agencies,10,WSSTTY3,MDI Hierarchy,Bengaluru,Karnataka
60,Walia Agencies,20,WSSTTY6,Sales Hierarchy,Indore,Madhya Pradesh
61,Dass Paints & Hardware,10,WSSTTY1,Sales Hierarchy,Kolkata,West Bengal
62,Dave Hardware Store,10,WSSTTY1,Sales Hierarchy,Kolkata,West Bengal
63,Soman Agencies,10,WSSTTY1,Sales Hierarchy,Kolkata,West Bengal
64,Gandhi Traders,20,WSSTTY4,Sales Hierarchy,Mumbai,Maharashtra
65,Lanka Hardware Store,20,WSSTTY6,Sales Hierarchy,Delhi,Delhi
66,Wable Traders,10,WSSTTY3,MDI Hierarchy,Lucknow,Uttar Pradesh
67,Sampath Paints & Hardware,30,WSSTTY7,Sales Hierarchy,Indore,Madhya Pradesh
68,Kakar Traders,10,WSSTTY3,MDI Hierarchy,Pune,Maharashtra
69,Zacharia Agencies,40,WSSTTY11,Sales Hierarchy,Chennai,Tamil Nadu
70,Iyer Paints & Hardware,10,WSSTTY1,Sales Hierarchy,Hyderabad,Telangana
71,Muni Paints & Hardware,40,WSSTTY12,MDI Hierarchy,Surat,Gujarat
72,Rastogi Traders,10,WSSTTY1,Sales Hierarchy,Jaipur,Rajasthan
73,Prakash Building Materials,10,WSSTTY1,Sales Hierarchy,Jaipur,Rajasthan
74,Sarma Paints & Hardware,10,WSSTTY2,Sales Hierarchy,Bengaluru,Karnataka
75,Varughese Enterprises,10,WSSTTY1,Sales Hierarchy,Bengaluru,Karnataka
76,Seth Agencies,20,WSSTTY6,MDI Hierarchy,Bengaluru,Karnataka
77,Dara Hardware Store,10,WSSTTY2,Sales Hierarchy,Chennai,Tamil Nadu
78,Kota Hardware Store,20,WSSTTY6,Sales Hierarchy,Delhi,Delhi
79,Kar Paints & Hardware,20,WSSTTY5,Sales Hierarchy,Ahmedabad,Gujarat
80,Bhatt Agencies,10,WSSTTY3,MDI Hierarchy,Kolkata,West Bengal
81,Nigam Enterprises,10,WSSTTY1,Sales Hierarchy,Kolkata,West Bengal
82,Bail Traders,40,WSSTTY12,MDI Hierarchy,Jaipur,Rajasthan
83,Karpe Enterprises,40,WSSTTY11,Sales Hierarchy,Pune,Maharashtra
84,Kannan Traders,30,WSSTTY9,MDI Hierarchy,Mumbai,Maharashtra
85,Amble Hardware Store,30,WSSTTY7,Sales Hierarchy,Jaipur,Rajasthan
86,Bobal Traders,20,WSSTTY5,Sales Hierarchy,Delhi,Delhi
87,Bhargava Agencies,10,WSSTTY2,Sales Hierarchy,Kolkata,West Bengal
88,Karnik Traders,10,WSSTTY2,Sales Hierarchy,Kolkata,West Bengal
89,Bir Enterprises,20,WSSTTY6,Sales Hierarchy,Lucknow,Uttar Pradesh
90,Balay Traders,40,WSSTTY12,Sales Hierarchy,Kolkata,West Bengal
91,Narayanan Agencies,10,WSSTTY3,Sales Hierarchy,Pune,Maharashtra
92,Bobal Enterprises,30,WSSTTY9,MDI Hierarchy,Surat,Gujarat
93,Varkey Building Materials,30,WSSTTY8,Sales Hierarchy,Mumbai,Maharashtra
94,Khanna Traders,10,WSSTTY3,MDI Hierarchy,Jaipur,Rajasthan
95,Mallick Paints & Hardware,10,WSSTTY3,MDI Hierarchy,Lucknow,Uttar Pradesh
96,Sunder Hardware Store,10,WSSTTY3,Sales Hierarchy,Kolkata,West Bengal
97,Kala Enterprises,20,WSSTTY6,Sales Hierarchy,Kolkata,West Bengal
98,Zacharia Traders,20,WSSTTY6,Sales Hierarchy,Indore,Madhya Pradesh
99,Deo Enterprises,10,WSSTTY1,Sales Hierarchy,Kolkata,West Bengal
100,Solanki Paints & Hardware,10,WSSTTY3,Sales Hierarchy,Pune,Maharashtra
101,Kibe Hardware Store,10,WSSTTY2,Sales Hierarchy,Mumbai,Maharashtra
102,Solanki Enterprises,10,WSSTTY2,Sales Hierarchy,Bengaluru,Karnataka
103,Ray Hardware Store,10,WSSTTY3,MDI Hierarchy,Pune,Maharashtra
104,Gupta Building Materials,40,WSSTTY11,Sales Hierarchy,Surat,Gujarat
105,Chandra Enterprises,10,WSSTTY3,Sales Hierarchy,Ahmedabad,Gujarat
106,Chatterjee Traders,10,WSSTTY1,Sales Hierarchy,Delhi,Delhi
107,Sankar Agencies,10,WSSTTY2,Sales Hierarchy,Kolkata,West Bengal
108,Pandya Building Materials,10,WSSTTY3,Sales Hierarchy,Indore,Madhya Pradesh
109,Sampath Building Materials,30,WSSTTY7,Sales Hierarchy,Hyderabad,Telangana
110,Roy Agencies,40,WSSTTY12,MDI Hierarchy,Indore,Madhya Pradesh
