transaction_id,customer_code,transaction_date,product_category,quantity,revenue,salesperson_id
TXN000001,101,2025-03-01,Construction Chemicals,17,23834.95,P018
TXN000002,23,2025-03-01,Construction Chemicals,70,93183.46,P017
TXN000003,23,2025-03-01,Sealants,71,45820.57,P017
TXN000004,13,2025-03-01,Adhesives,35,11156.94,P010
TXN000005,77,2025-03-01,Sealants,25,16637.16,P020
TXN000006,90,2025-03-01,Sealants,37,24602.74,P020
TXN000007,10,2025-03-02,Adhesives,44,16936.66,P014
TXN000008,39,2025-03-02,Adhesives,10,3407.1,P011
TXN000009,101,2025-03-02,Construction Chemicals,59,87368.75,P018
TXN000010,5,2025-03-02,Sealants,52,31841.38,P023
TXN000011,37,2025-03-02,Sealants,47,27161.5,P026
TXN000012,94,2025-03-02,Adhesives,28,10660.7,P004
TXN000013,39,2025-03-03,Adhesives,56,20026.59,P011
TXN000014,5,2025-03-03,Sealants,61,41839.93,P023
TXN000015,23,2025-03-03,Sealants,48,29305.01,P017
TXN000016,110,2025-03-03,Sealants,101,66389.42,P024
TXN000017,116,2025-03-03,Sealants,34,20235.96,P004
TXN000018,45,2025-03-03,Industrial Resins,18,36238.27,P011
TXN000019,8,2025-03-03,Construction Chemicals,34,44973.5,P026
TXN000020,12,2025-03-04,Construction Chemicals,134,198107.61,P024
TXN000021,39,2025-03-04,Industrial Resins,46,87845.81,P011
TXN000022,5,2025-03-04,Sealants,69,37755.11,P023
TXN000023,5,2025-03-04,Sealants,67,45193.85,P023
TXN000024,23,2025-03-04,Construction Chemicals,78,125504.93,P017
TXN000025,3,2025-03-04,Construction Chemicals,56,79124.09,P017
TXN000026,38,2025-03-04,Industrial Resins,62,145047.08,P010
TXN000027,38,2025-03-04,Adhesives,112,34721.32,P010
TXN000028,110,2025-03-04,Sealants,93,61877.33,P024
TXN000029,77,2025-03-04,Construction Chemicals,25,36245.94,P020
TXN000030,14,2025-03-04,Adhesives,33,11818.08,P005
TXN000031,27,2025-03-04,Adhesives,43,15233.87,P006
TXN000032,63,2025-03-04,Adhesives,18,6318.63,P008
TXN000033,115,2025-03-05,Sealants,18,11653.33,P004
